leg,symbol,quantity,entry_time,entry_px,exit_time,exit_px,exit_reason,is_short,pnl_points,pnl_rupees
WEEKLY_PE,NIFTY05JAN2318150PE,65,2023-01-03T09:30:00+05:30,69.25,2023-01-03T09:50:00+05:30,59.4,opposite_signal,False,-9.850000000000001,-640.2500000000001
WEEKLY_CE,NIFTY05JAN2318250CE,65,2023-01-03T10:10:00+05:30,76.2,2023-01-03T10:25:00+05:30,71.3,opposite_signal,False,-4.900000000000006,-318.50000000000034
WEEKLY_CE,NIFTY05JAN2318250CE,65,2023-01-03T10:30:00+05:30,78.25,2023-01-03T10:45:00+05:30,72.55,opposite_signal,False,-5.700000000000003,-370.50000000000017
WEEKLY_CE,NIFTY05JAN2318250CE,65,2023-01-03T10:50:00+05:30,77.35,2023-01-03T11:00:00+05:30,74.65,opposite_signal,False,-2.6999999999999886,-175.49999999999926
WEEKLY_CE,NIFTY05JAN2318250CE,65,2023-01-03T11:05:00+05:30,76.5,2023-01-03T11:50:00+05:30,72.25,opposite_signal,False,-4.25,-276.25
WEEKLY_PE,NIFTY05JAN2318150PE,65,2023-01-03T12:20:00+05:30,70.7,2023-01-03T13:15:00+05:30,57.6,opposite_signal,False,-13.100000000000001,-851.5000000000001
WEEKLY_CE,NIFTY05JAN2318250CE,65,2023-01-03T14:30:00+05:30,76.0,2023-01-03T15:05:00+05:30,74.95,opposite_signal,False,-1.0499999999999972,-68.24999999999982
WEEKLY_PE,NIFTY05JAN2318200PE,65,2023-01-04T09:30:00+05:30,52.3,2023-01-04T10:00:00+05:30,105.45,profit_target,False,53.150000000000006,3454.7500000000005
WEEKLY_PE,NIFTY05JAN2318100PE,65,2023-01-04T10:00:00+05:30,53.2,2023-01-04T15:15:00+05:30,91.7,universal_exit_time,False,38.5,2502.5
WEEKLY_PE,NIFTY02FEB2318000PE,65,2023-01-25T09:30:00+05:30,116.55,2023-01-25T11:25:00+05:30,243.4,profit_target,False,126.85000000000001,8245.25
WEEKLY_PE,NIFTY02FEB2317850PE,65,2023-01-25T11:25:00+05:30,163.85,2023-01-25T15:15:00+05:30,121.05,universal_exit_time,False,-42.8,-2782.0
WEEKLY_PE,NIFTY02FEB2317750PE,65,2023-01-27T09:40:00+05:30,165.45,2023-01-27T14:20:00+05:30,330.9,profit_target,False,165.45,10754.25
WEEKLY_PE,NIFTY02FEB2317450PE,65,2023-01-27T14:20:00+05:30,164.4,2023-01-27T15:15:00+05:30,106.0,universal_exit_time,False,-58.400000000000006,-3796.0000000000005
WEEKLY_PE,NIFTY02FEB2317600PE,65,2023-01-30T09:50:00+05:30,153.75,2023-01-30T10:10:00+05:30,148.75,opposite_signal,False,-5.0,-325.0
WEEKLY_CE,NIFTY02FEB2317700CE,65,2023-01-30T09:35:00+05:30,172.05,2023-01-30T10:30:00+05:30,139.35,opposite_signal,False,-32.70000000000002,-2125.500000000001
MONTHLY_PE,NIFTY23FEB2317300PE,65,2023-01-30T09:45:00+05:30,167.55,2023-01-30T10:35:00+05:30,186.4,opposite_signal,True,-18.849999999999994,-1225.2499999999995
WEEKLY_PE,NIFTY02FEB2317600PE,65,2023-01-30T10:15:00+05:30,156.05,2023-01-30T12:00:00+05:30,142.85,opposite_signal,False,-13.200000000000017,-858.0000000000011
WEEKLY_CE,NIFTY02FEB2317600CE,65,2023-01-30T11:50:00+05:30,191.15,2023-01-30T12:15:00+05:30,177.5,opposite_signal,False,-13.650000000000006,-887.2500000000003
MONTHLY_PE,NIFTY23FEB2317300PE,65,2023-01-30T11:55:00+05:30,164.9,2023-01-30T12:35:00+05:30,190.7,opposite_signal,True,-25.799999999999983,-1676.9999999999989
WEEKLY_PE,NIFTY02FEB2317550PE,65,2023-01-30T12:15:00+05:30,141.35,2023-01-30T14:50:00+05:30,134.5,opposite_signal,False,-6.849999999999994,-445.24999999999966
WEEKLY_PE,NIFTY02FEB2317550PE,65,2023-01-31T09:30:00+05:30,147.0,2023-01-31T11:50:00+05:30,99.75,opposite_signal,False,-47.25,-3071.25
WEEKLY_PE,NIFTY02FEB2317600PE,65,2023-01-31T12:10:00+05:30,131.4,2023-01-31T12:30:00+05:30,116.9,opposite_signal,False,-14.5,-942.5
WEEKLY_CE,NIFTY02FEB2317700CE,65,2023-01-31T13:15:00+05:30,155.0,2023-01-31T13:55:00+05:30,141.5,opposite_signal,False,-13.5,-877.5
WEEKLY_CE,NIFTY02FEB2317750CE,65,2023-02-01T09:30:00+05:30,143.25,2023-02-01T13:30:00+05:30,118.7,opposite_signal,False,-24.549999999999997,-1595.7499999999998
MONTHLY_PE,NIFTY23FEB2317400PE,65,2023-01-31T13:15:00+05:30,154.0,2023-02-01T14:45:00+05:30,246.0,opposite_signal,True,-92.0,-5980.0
WEEKLY_PE,NIFTY02FEB2317450PE,65,2023-02-01T14:40:00+05:30,55.25,2023-02-01T15:05:00+05:30,20.3,opposite_signal,False,-34.95,-2271.75
WEEKLY_CE,NIFTY09FEB2317700CE,65,2023-02-02T09:45:00+05:30,165.0,2023-02-02T09:55:00+05:30,129.8,opposite_signal,False,-35.19999999999999,-2287.999999999999
MONTHLY_PE,NIFTY23FEB2317300PE,65,2023-02-02T09:30:00+05:30,152.85,2023-02-02T10:30:00+05:30,162.55,opposite_signal,True,-9.700000000000017,-630.5000000000011
WEEKLY_PE,NIFTY09FEB2317500PE,65,2023-02-02T10:25:00+05:30,158.65,2023-02-02T10:40:00+05:30,136.6,opposite_signal,False,-22.05000000000001,-1433.2500000000007
WEEKLY_CE,NIFTY09FEB2317700CE,65,2023-02-03T09:30:00+05:30,128.0,2023-02-03T09:40:00+05:30,118.5,opposite_signal,False,-9.5,-617.5
WEEKLY_CE,NIFTY09FEB2317700CE,65,2023-02-03T09:45:00+05:30,126.8,2023-02-03T10:20:00+05:30,103.3,opposite_signal,False,-23.5,-1527.5
WEEKLY_CE,NIFTY09FEB2317700CE,65,2023-02-03T12:10:00+05:30,125.0,2023-02-03T15:15:00+05:30,226.15,universal_exit_time,False,101.15,6574.75
WEEKLY_PE,NIFTY09FEB2317750PE,65,2023-02-06T09:35:00+05:30,88.9,2023-02-06T15:15:00+05:30,94.55,universal_exit_time,False,5.6499999999999915,367.24999999999943
WEEKLY_CE,NIFTY09FEB2317800CE,65,2023-02-07T09:30:00+05:30,87.4,2023-02-07T09:45:00+05:30,72.1,opposite_signal,False,-15.300000000000011,-994.5000000000007
